uid,recommendations
56107,['Tadaima! Chibi Godzilla']
9934,"['Konohana Kitan', 'Kannagi', 'Gochuumon wa Usagi desu ka?', 'Fruits Basket', 'Kemono Friends', 'Centaur no Nayami', 'Kobayashi-san Chi no Maid Dragon', 'Etotama', 'Natsume Yuujinchou', 'Touhou Niji Sousaku Doujin Anime: Musou Kakyou', 'Binbougami ga!', 'Hayate no Gotoku!', 'Kanamemo', 'Namiuchigiwa no Muromi-san', 'Kamichu!']"
22433,"[""Knight's & Magic"", 'Nejimaki Seirei Senki: Tenkyou no Alderamin', 'Code Geass: Hangyaku no Lelouch', 'Macross F', 'Full Metal Panic!', 'Boku no Hero Academia', 'Aldnoah.Zero', 'Tenkuu no Escaflowne', 'Turn A Gundam', 'Shirogane no Ishi: Argevollen', 'Kidou Senshi Gundam: Tekketsu no Orphans', 'Cross Ange: Tenshi to Ryuu no Rondo', 'Shinseiki Evangelion']"
1348,"['Koukaku Kidoutai', 'Iria: Zeiram The Animation']"
577,"['Sola', 'Märchen Mädchen', 'Pandora Hearts', 'Rozen Maiden', 'Princess Tutu']"
5504,"['Sekirei', 'Kiniro no Corda: Primo Passo', 'Senki Zesshou Symphogear', 'Mashiro-iro Symphony: The Color of Lovers', 'Shakugan no Shana', 'Ookami to Koushinryou', 'Chrno Crusade', 'Zero no Tsukaima', 'Pandora Hearts', 'UFO Princess Valkyrie']"
589,"['Hokuto no Ken', 'Arano no Sakebi Koe: Hoero, Buck', 'Saint Seiya', 'Gamba no Bouken', ""Wolf's Rain"", 'Genshi Shounen Ryuu', 'Golden Kamuy', 'Rainbow: Nisha Rokubou no Shichinin', 'Kinnikuman', 'Tibet Inu Monogatari', 'Uchuu Kaizoku Captain Herlock', 'JoJo no Kimyou na Bouken Part 3: Stardust Crusaders', 'Wansa-kun', 'Shingeki no Kyojin', 'Naruto', 'Hayan Ma-eum Baeggu', 'Daisetsusan no Yuusha Kibaou', 'Shiroi Kiba White Fang Monogatari', 'Jungle Book Shounen Mowgli', 'Jungle Taitei']"
54259,"['Ikkitousen', 'Beelzebub', 'Mairimashita! Iruma-kun']"
54123,"['Douluo Dalu II: Jueshi Tangmen', 'Yi Nian Yong Heng', 'Fanren Xiu Xian Chuan']"
10797,"['Aware! Meisaku-kun', 'Gintama']"
6566,"['CLAMP in Wonderland', 'Shounen Sunday CM: All-Star Total Appearance', 'CLAMP in Wonderland 2', 'Toaru Majutsu no Index 10-shuunen Kinen PV']"
122,"['Kirarin☆Revolution', 'Princess Tutu', 'Kaleido Star', 'Cardcaptor Sakura', 'Ginban Kaleidoscope', 'Mermaid Melody Pichi Pichi Pitch', 'Skip Beat!', 'Mahou no Stage Fancy Lala', 'Nana', 'Mahou no Tenshi Creamy Mami', 'Kamikaze Kaitou Jeanne', 'Fukumenkei Noise', 'Yume-iro Pâtissière', 'Glass no Kamen (2005)', 'Angel Beats!', 'Air', 'Kobato.', 'Tokyo Mew Mew', 'Shigatsu wa Kimi no Uso', 'Kodomo no Omocha (TV)', 'Rosario to Vampire', 'Love Live! School Idol Project', 'Given', 'Cowboy Bebop: Tengoku no Tobira', 'Subarashiki Kono Sekai The Animation', 'Paradise Kiss', 'Fruits Basket', 'Shugo Chara!', 'Bishoujo Senshi Sailor Moon', 'Cowboy Bebop', 'Pretty Rhythm: Rainbow Live', 'Uta no☆Prince-sama♪ Maji Love 1000%', 'Chrno Crusade', 'Wake Up, Girls!', 'Nurse Angel Ririka SOS', 'Sakura Taisen', 'Futatsu no Spica', 'Ojamajo Doremi', 'Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai', 'Ashita no Nadja', 'Sennen Joyuu', 'Chicchana Yukitsukai Sugar', 'Aikatsu!', 'Hime Chen! Otogi Chikku Idol Lilpri', 'Chou Kuse ni Narisou', 'Clannad', 'Hanbun no Tsuki ga Noboru Sora', 'Hoshi no Koe', 'Nodame Cantabile', 'Kodomo no Omocha', 'Mermaid Melody Pichi Pichi Pitch Pure', 'Idol Densetsu Eriko', 'Ayashi no Ceres', 'Gakuen Alice', 'Akazukin Chacha', 'Nanaka 6/17', 'Soredemo Sekai wa Utsukushii', 'Nijiiro☆Prism Girl', 'Ultra Maniac', 'Chance Triangle Session', 'Aishiteruze Baby★★', 'Kamisama Hajimemashita', 'Lemon Angel Project', 'Shinigami no Ballad.', 'Baby☆Love', 'Omishi Mahou Gekijou: Risky★Safety', 'Tsubasa Chronicle', 'Bishoujo Senshi Sailor Moon: Sailor Stars', 'Tengen Toppa Gurren Lagann', 'Yume-iro Pâtissière SP Professional', 'Puchi Pri*Yucie']"
42826,"['Akagami no Shirayuki-hime', 'Isekai Yakkyoku', 'Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen', 'Madougushi Dahliya wa Utsumukanai', 'Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita', 'Sugar Apple Fairy Tale', 'Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore', 'Akuyaku Reijou nanode Last Boss wo Kattemimashita', 'Kanojo ga Koushaku-tei ni Itta Riyuu', 'Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...', 'Soredemo Sekai wa Utsukushii', 'Meiji Tokyo Renka', 'Net-juu no Susume', 'Skip to Loafer', 'Watashi no Shiawase na Kekkon', 'Akatsuki no Yona', 'Sousou no Frieren', 'Mushikaburi-hime', 'Hachi-nan tte, Sore wa Nai deshou!', 'Gekai Elise', 'Otome Game Sekai wa Mob ni Kibishii Sekai desu', 'Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita', 'Kuma Kuma Kuma Bear']"
33948,"['Gochuumon wa Usagi desu ka?', 'Urara Meirochou', 'Blend S', 'Hitoribocchi no Marumaru Seikatsu', 'Comic Girls', 'Yuru Yuri', 'Slow Start', 'Anima Yell!', 'Hitohira', 'Watashi ni Tenshi ga Maiorita!', 'Himouto! Umaru-chan', 'Bocchi the Rock!', 'Komi-san wa, Comyushou desu.', 'Sansha Sanyou', 'Gochuumon wa Usagi desu ka??', 'Tejina-senpai', 'Wakaba*Girl', 'Yuru Camp△', 'Long Riders!', 'Kuma Miko', 'Lucky☆Star', 'Tamayura: Hitotose', 'Kiniro Mosaic', 'Pan de Peace!', 'Anne Happy♪', 'Hanayamata', 'Non Non Biyori', 'Konohana Kitan']"
37293,['Kai Feng Qitan: Zhege Baogong Bu Taixing']
5525,"['Pandora Hearts', 'Hakkenden: Touhou Hakken Ibun', 'Code Geass: Hangyaku no Lelouch', 'D.Gray-man', 'Owari no Seraph', 'Tegamibachi', 'Koukaku no Regios', 'Karneval (TV)', 'Uragiri wa Boku no Namae wo Shitteiru', 'Trinity Blood', 'Vampire Knight', 'Fullmetal Alchemist', 'Juu Ou Sei', 'Ao no Exorcist', 'Kyou kara Maou!', 'Loveless', 'Naruto', 'No.6', 'Chrno Crusade', 'Densetsu no Yuusha no Densetsu', 'Shingeki no Kyojin', 'Rental Magica', 'Kaze no Stigma', 'Deadman Wonderland', 'Fate/Zero 2nd Season', 'Saiyuuki Reload Blast', 'Fate/Zero', 'Black Cat (TV)', 'Ginyuu Mokushiroku Meine Liebe', 'Noragami', 'Shounen Maid', 'Norn9: Norn+Nonet', 'Orenchi no Furo Jijou', 'Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita', 'Zetsuen no Tempest', 'Gensoumaden Saiyuuki', 'Junjou Romantica', 'Cluster Edge', 'Tsubasa Chronicle', 'Romeo no Aoi Sora', 'Seiken no Blacksmith', 'Fullmetal Alchemist: Brotherhood', 'Fate/stay night', 'Seikon no Qwaser', 'Isekai no Seikishi Monogatari', 'Neo Angelique Abyss: Second Age', 'Sword Art Online', 'Guilty Crown', 'Kamisama Dolls', 'Toaru Hikuushi e no Koiuta', 'Kamisama no Inai Nichiyoubi', 'Makai Ouji: Devils and Realist', 'Senjou no Valkyria']"
50392,"['Temple', 'Darling in the FranXX', 'Isekai no Seikishi Monogatari', 'Mahou Shoujo ni Akogarete', 'Chainsaw Man']"
6045,"['Suki tte Ii na yo.', 'Lovely★Complex', 'Yamato Nadeshiko Shichihenge♥', 'Ao Haru Ride', 'Bokura ga Ita', 'Ore Monogatari!!', 'Toradora!', 'Komi-san wa, Comyushou desu.', 'Tonari no Kaibutsu-kun', 'Kaichou wa Maid-sama!', 'Hiyokoi', 'Isshuukan Friends.', 'Clannad', 'Skip to Loafer', 'Kareshi Kanojo no Jijou', 'Hachimitsu to Clover', 'ReLIFE', 'Tsuki ga Kirei', 'Fruits Basket', 'Natsume Yuujinchou', 'Bokura wa Minna Kawai-sou', 'Kotoura-san', 'Orange', 'Fruits Basket 1st Season', 'Special A', 'Kuragehime', 'Itazura na Kiss', 'Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!', 'Chihayafuru', 'Horimiya', 'Angel Densetsu', 'Ookiku Furikabutte', 'Golden Time', 'Skip Beat!', 'Usagi Drop', 'Akagami no Shirayuki-hime', 'Hyouka', 'Ouran Koukou Host Club', 'Nazo no Kanojo X', 'Nijiiro Days', 'Koi wa Ameagari no You ni', '3D Kanojo: Real Girl', 'Blend S', 'Ookami Shoujo to Kuro Ouji', 'Hori-san to Miyamura-kun', 'Yubisaki to Renren', 'Hitoribocchi no Marumaru Seikatsu', 'Nagareboshi Lens', 'Jijou wo Shiranai Tenkousei ga Guigui Kuru.', 'School Rumble', 'Aa! Megami-sama! (TV)', 'Aoi Hana', 'Tokyo Marble Chocolate', 'Hana yori Dango', 'KimiKiss Pure Rouge', 'Peach Girl', 'Nodame Cantabile', 'Eikoku Koi Monogatari Emma', 'Itsudatte Bokura no Koi wa 10 cm Datta.', 'Gokinjo Monogatari', 'Pupipo!', 'Oniisama e...', 'Karakai Jouzu no Takagi-san 2', '3-gatsu no Lion', 'Karin', 'Aria the Origination', 'Hakushaku to Yousei', 'Boku wa Tomodachi ga Sukunai', 'Winter Garden', '3D Kanojo: Real Girl 2nd Season', 'Watashi no Shiawase na Kekkon', '12-sai.: Chicchana Mune no Tokimeki', 'Kyou, Koi wo Hajimemasu', 'Yamada-kun to Lv999 no Koi wo Suru', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan', 'Barakamon', 'Nana', 'Mizuiro Jidai', 'Chuunibyou demo Koi ga Shitai!', 'Adachi to Shimamura', 'Omoi, Omoware, Furi, Furare', 'Irozuku Sekai no Ashita kara', 'Colorful (Movie)', 'Kono Oto Tomare!', 'Haikyuu!!', 'Zoku Natsume Yuujinchou', 'Bocchi the Rock!', 'Kobato.', 'Hotarubi no Mori e', 'Saraiya Goyou', 'Amagami SS', 'School Days', 'Hatsukoi Limited.', 'Ichigo 100%', 'Sankarea', 'Kodomo no Omocha (TV)', 'Sasameki Koto', 'Sugar*Soldier', 'Freezing', 'Hanasaku Iroha', 'Tamayura: Hitotose', 'Hourou Musuko', 'Natsume Yuujinchou San', 'Cross Game', 'Hitohira', 'Ultra Maniac', 'Tenki no Ko', 'Inu x Boku SS', 'Cardcaptor Sakura', 'Net-juu no Susume', 'Kamisama Hajimemashita', 'Shugo Chara!', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru.', 'Acchi Kocchi', 'Gakuen Heaven', 'Sono Bisque Doll wa Koi wo Suru', 'ef: A Tale of Memories.', 'Tsubasa to Hotaru', 'Ookami-san to Shichinin no Nakama-tachi', 'Bakuman.', 'Hiiro no Kakera 2nd Season']"
8123,"['Shokugeki no Souma', 'Yume-iro Pâtissière', 'Pan de Peace!', 'Amaama to Inazuma', 'Wakakusa Monogatari: Nan to Jo-sensei', 'Seiyou Kottou Yougashiten: Antique', 'Muteki Kanban Musume', 'Ippon Bouchou Mantarou', 'Yakitate!! Japan', 'Chuuka Ichiban!', 'Bartender', 'Oishinbo']"
49849,"['Isekai Yakkyoku', 'Kami-tachi ni Hirowareta Otoko', 'Escha & Logy no Atelier: Tasogare no Sora no Renkinjutsushi', 'Rougo ni Sonaete Isekai de 8-manmai no Kinka wo Tamemasu', 'Ryza no Atelier: Tokoyami no Joou to Himitsu no Kakurega', 'Watashi, Nouryoku wa Heikinchi de tte Itta yo ne!', 'Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita', 'Kuma Kuma Kuma Bear', 'Majo no Tabitabi', 'RPG Fudousan']"
175,"['Busou Renkin', 'Kaze no Stigma', 'Asu no Yoichi!', ""E's Otherwise"", 'Kore wa Zombie desu ka?', 'Erementar Gerad', 'MÄR', 'Bleach', 'Rekka no Honoo', 'Speed Grapher', 'Gate Keepers', 'Spider Riders: Oracle no Yuusha-tachi']"
8189,"['Teinenpi Shoujo Heidi', 'Holo no Graffiti', 'gdgd Fairies', 'Popee the Performer']"
666,"['Mahou Shoujo Madoka★Magica', 'Hokuto no Ken', 'Abashiri Ikka', 'Sore Ike! Anpanman: Niji no Pyramid', 'Baoh Raihousha', 'Baki', 'Genocyber', 'Gyakkyou Burai Kaiji: Ultimate Survivor', 'Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen', 'Hellsing', 'Tengen Toppa Gurren Lagann', 'Bastard!! Ankoku no Hakaishin', 'Blue Dragon', 'One Punch Man', 'Hokuto no Ken Movie', 'Devilman: Tanjou-hen', 'Grappler Baki', 'Dragon Ball']"
14513,"['Hunter x Hunter (2011)', 'Fairy Tail', 'Nanatsu no Taizai', 'Fullmetal Alchemist: Brotherhood', 'One Piece', 'Densetsu no Yuusha no Densetsu', 'Juuni Kokuki', 'Akatsuki no Yona', 'Tengen Toppa Gurren Lagann', 'Sword Art Online', 'Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka', 'Orient', 'Arslan Senki (TV)', 'Makai Ouji: Devils and Realist', 'Mushoku Tensei: Isekai Ittara Honki Dasu', 'Kono Subarashii Sekai ni Shukufuku wo!', 'Kujira no Kora wa Sajou ni Utau', 'Toaru Majutsu no Index', 'Vinland Saga', 'Shaman King', 'Yu☆Gi☆Oh! Duel Monsters', 'Fate/Zero', 'Code Geass: Hangyaku no Lelouch', 'Grancrest Senki', 'Made in Abyss', 'K', 'K: Return of Kings', 'Akame ga Kill!', 'Fumetsu no Anata e', 'Gate: Jieitai Kanochi nite, Kaku Tatakaeri', 'Saint Seiya: The Lost Canvas - Meiou Shinwa', 'Log Horizon', 'Mairimashita! Iruma-kun', 'Break Blade Movie 1: Kakusei no Toki', 'Taiyou no Ko Esteban', 'Fullmetal Alchemist', 'Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen', 'Tensei shitara Slime Datta Ken', 'Noragami', 'One Piece Film: Strong World', 'Shingeki no Bahamut: Genesis', 'Shingeki no Kyojin: The Final Season', 'Kaizoku Oujo', 'Infinite Dendrogram', 'Black Clover', 'Ged Senki', 'Fate/Grand Order: Zettai Majuu Sensen Babylonia', 'Mashle', 'Nagi no Asu kara', 'Kuroko no Basket', 'Arata Kangatari', 'Dragon Ball', 'Kingdom', 'Mushishi', 'Slayers', 'Naruto: Shippuuden', 'Sonic X', 'Shinseiki Evangelion', 'Evangelion Movie 1: Jo', 'Kami no Tou', 'Bucchigiri?!', 'Druaga no Tou: The Aegis of Uruk', 'Majutsushi Orphen', 'Arabian Nights: Sindbad no Bouken (TV)', 'Fairy Tail (2014)', 'Dog Days', 'Soul Eater', 'Gensoumaden Saiyuuki', 'Zero no Tsukaima', 'Tsubasa Chronicle', 'Hunter x Hunter', 'Negima!?', 'Shoukoku no Altair', 'Reikenzan: Hoshikuzu-tachi no Utage', 'Arcana Famiglia']"
11177,"['Metal Fight Beyblade', 'Gundam Build Fighters']"
32454,"['Sabage-bu!', 'Yuru Yuri']"
1372,"['Kidou Keisatsu Patlabor: On Television', 'Rail Wars!', 'Hakozume: Kouban Joshi no Gyakushuu', 'Aa! Megami-sama! (TV)', 'eX-Driver', 'Hikari to Mizu no Daphne', 'Yuugen Kaisha', 'Mainichi ga Nichiyoubi', 'Otome wa Boku ni Koishiteru']"
20385,['Oira Sukeban']
19255,['Hidan no Aria: Butei ga Kitarite Onsen Kenshuu']
2227,"['Ie Naki Ko', 'Shoukoushi Cedie', 'Lady Georgie']"
53434,"['Konyaku Haki sareta Reijou wo Hirotta Ore ga, Ikenai Koto wo Oshiekomu', 'Mahoutsukai no Yome', 'Isekai Maou to Shoukan Shoujo no Dorei Majutsu', 'Watashi no Shiawase na Kekkon', 'Katsute Mahou Shoujo to Aku wa Tekitai shiteita.', 'Clannad', 'Niehime to Kemono no Ou', 'Beelzebub-jou no Okinimesu mama.']"
33091,"['Plastic Memories', 'Eve no Jikan', 'Kamisama no Inai Nichiyoubi', ""Vivy: Fluorite Eye's Song"", 'Shoujo Shuumatsu Ryokou', 'Memory (ONA)', 'Violet Evergarden', 'Atri: My Dear Moments', 'Prima Doll', 'Kimi wa Houkago Insomnia', 'Kujira no Kora wa Sajou ni Utau', 'Sora no Manimani', 'Sousou no Frieren', 'Dimension W', 'Rewrite', 'Synduality: Noir', 'RErideD: Tokigoe no Derrida', 'Kowarekake no Orgel', 'Chobits', 'Kurogane Communication', 'Shelter (Music)', 'Clockwork Planet', 'Clannad: After Story', 'Hoshizora Kiseki']"
53421,"['Sono Bisque Doll wa Koi wo Suru', 'Ijiranaide, Nagatoro-san', 'Hajimete no Gal', 'Fuufu Ijou, Koibito Miman.']"
56963,['Quanzhi Gaoshou']
33502,"['Plastic Memories', 'Black Bullet', '86', 'Darling in the FranXX', 'Rokudenashi Majutsu Koushi to Akashic Records', 'Angel Beats!', 'Re:Zero kara Hajimeru Isekai Seikatsu', 'Jinrui wa Suitai Shimashita', 'Guilty Crown', 'Gunslinger Girl', 'Zero kara Hajimeru Mahou no Sho', 'Rokujouma no Shinryakusha!?', 'Akame ga Kill!', 'Howl no Ugoku Shiro', 'Planetarian: Hoshi no Hito', 'Tokyo Ravens', 'Shinsekai yori', 'Sayonara no Asa ni Yakusoku no Hana wo Kazarou', 'Gosick', 'Tsuki to Laika to Nosferatu', 'Tate no Yuusha no Nariagari', 'Clannad: After Story', 'Shironeko Project: Zero Chronicle', 'Tokyo ESP', 'Top wo Nerae 2! Diebuster', 'Shinseiki Evangelion', 'Mahou Shoujo Madoka★Magica', 'Koukaku no Regios', 'Romeo x Juliet', 'Little Busters! Refrain', 'Shakugan no Shana', 'Golden Time', 'Demi-chan wa Kataritai', 'Claymore', 'Suisei no Gargantia', 'Mo Dao Zu Shi', 'Kujira no Kora wa Sajou ni Utau', 'Hai to Gensou no Grimgar', 'So Ra No Wo To', 'Tegamibachi', 'Alice to Zouroku', 'Usagi Drop', 'Saishuu Heiki Kanojo', 'Gokukoku no Brynhildr', 'Sidonia no Kishi', 'Ginga Eiyuu Densetsu', 'Papa no Iukoto wo Kikinasai!', 'Violet Evergarden', 'Rakuen Tsuihou', ""Lance N' Masques"", 'Utawarerumono: Itsuwari no Kamen', 'God Eater']"
1956,"['Tenjou Tenge', 'Bamboo Blade', 'Ga-Rei: Zero', 'Sengoku Basara', 'Koihime†Musou']"
9656,"['Akagami no Shirayuki-hime 2nd Season', 'Fruits Basket: The Final', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan', 'Yamato Nadeshiko Shichihenge♥', 'Bokura wa Minna Kawai-sou', 'Itazura na Kiss']"
20353,"['Gakkou no Kowai Uwasa: Hanako-san ga Kita!!', 'Gakkou no Kaidan']"
28387,"['Inou-Battle wa Nichijou-kei no Naka de', 'Mikagura Gakuen Kumikyoku (TV)', 'Working!!', 'Akagami no Shirayuki-hime', 'Edomae Elf', 'JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai', 'Hinamatsuri', 'Charlotte', 'Amagi Brilliant Park', 'Azumanga Daiou The Animation', 'Oushitsu Kyoushi Heine', 'Ookami Kodomo no Ame to Yuki', '5-toubun no Hanayome']"
36432,"['Date A Live III', 'Black Clover']"
1486,"['Gakuen Alice', 'Marmalade Boy', 'Daa! Daa! Daa!', 'Kirarin☆Revolution', 'Super GALS! Kotobuki Ran', 'Full Moon wo Sagashite', 'Lucky☆Star', '12-sai.: Chicchana Mune no Tokimeki', 'Kaichou wa Maid-sama!', 'Shugo Chara!', 'Itazura na Kiss', 'Akazukin Chacha', 'Animation Seisaku Shinkou Kuromi-chan', 'Mahou no Idol Pastel Yumi', '12-sai.', 'Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.', 'Toradora!', 'Kimi ni Todoke', 'Ookami-san to Shichinin no Nakama-tachi', 'Love Stage!!', 'Ike! Ina-chuu Takkyuu-bu', 'Chihayafuru', 'Karakai Jouzu no Takagi-san', 'Ojamajo Doremi', 'Ranma ½', 'Spy x Family', 'Slow Step', 'Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen', 'Hime-chan no Ribbon', 'Kamisama Hajimemashita', 'Soul Eater', 'Ao Haru Ride', 'To LOVE-Ru', 'Chou Kuse ni Narisou', 'Cardcaptor Sakura', 'Great Teacher Onizuka', 'Lovedol: Lovely Idol', 'Yume-iro Pâtissière', 'Fruits Basket', 'Kodomo no Jikan (TV)', 'Ichigo Mashimaro', 'Kingyo Chuuihou!', 'Gokinjo Monogatari', 'The iDOLM@STER', 'Special A', 'Bishoujo Senshi Sailor Moon', 'Glass no Kamen (2005)', 'Kareshi Kanojo no Jijou', 'Hana yori Dango', 'Yume-iro Pâtissière SP Professional', 'Nodame Cantabile', 'Skip Beat!', 'Clannad', 'School Rumble']"
37141,"['Dr. Stone', 'Hetalia Axis Powers', 'Moyashimon', 'Seimei no Kagaku: Micro Patrol', 'Houseki no Kuni', 'Tenchi Souzou Design-bu', 'Dumbbell Nan Kilo Moteru?', 'One Punch Man', 'Hataraku Saibou Black', 'Kaitou Joker', 'Eyedrops', 'Black Jack (TV)', 'Violet Evergarden', 'Byoudoku no Denpa', 'Girls & Panzer', 'Yuru Camp△', 'Ikebukuro West Gate Park', 'Akazukin to Kenkou', 'Time Travel Shoujo: Mari Waka to 8-nin no Kagakusha-tachi', 'Magical Death', 'Oshiete! Galko-chan', 'Hoozuki no Reitetsu', 'Shirobako', 'Murenase! Seton Gakuen']"
50439,"['Psycho-Pass', 'Ergo Proxy', 'Koukaku Kidoutai', 'Yinhe Zhi Xin', 'Shiguang Dailiren']"
52081,"['Himouto! Umaru-chan', 'Joukamachi no Dandelion', 'Flying Witch', 'Shiro Seijo to Kuro Bokushi', 'Danna ga Nani wo Itteiru ka Wakaranai Ken', 'Kuma Miko', 'Sousou no Frieren', 'Inari, Konkon, Koi Iroha.']"
24833,"['Great Teacher Onizuka', 'Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e', 'Boku no Hero Academia', 'Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation', 'Angel Beats!', 'Denpa Kyoushi', 'Baka to Test to Shoukanjuu', 'Akuma no Riddle', 'Akame ga Kill!', 'Gintama', 'Another', 'Sakura-sou no Pet na Kanojo', 'Aoharu x Kikanjuu', 'Oushitsu Kyoushi Heine', 'Spy Kyoushitsu', 'One Punch Man', 'Mob Psycho 100', 'Hunter x Hunter (2011)', 'Saiki Kusuo no Ψ-nan', 'Katekyou Hitman Reborn!', 'Shingeki no Kyojin', 'Kuroshitsuji', 'Rokudenashi Majutsu Koushi to Akashic Records', 'Nanbaka', 'Yakusoku no Neverland', 'Boku no Hero Academia 3rd Season', 'Bungou Stray Dogs', 'Munou na Nana', 'Beelzebub', 'Soul Eater', 'Boku no Hero Academia 2nd Season', 'Dr. Stone', 'Sayonara Zetsubou Sensei', 'Hataraku Maou-sama!', 'Sakamoto desu ga?', 'Vinland Saga', 'Trigun', 'Ranpo Kitan: Game of Laplace', 'Yuusha, Yamemasu', 'Kekkai Sensen', 'Haiyore! Nyaruko-san', 'ReLIFE', 'Phantom: Requiem for the Phantom', 'Tsurezure Children', 'Hinamatsuri', 'Ao no Exorcist', 'Noragami', 'Fairy Tail', 'Diamond no Ace', '5-toubun no Hanayome', 'Kono Subarashii Sekai ni Shukufuku wo!', 'Chuunibyou demo Koi ga Shitai!', 'Kaitou Joker', 'Hoshiai no Sora', 'Joshiraku', 'Shokugeki no Souma', 'Charlotte', 'Enen no Shouboutai', 'Ajin', 'Baccano!', 'Darker than Black: Kuro no Keiyakusha', 'Kyoufu no Bio Ningen Saishuu Kyoushi', 'Gokusen', 'Pandora Hearts', 'Akatsuki no Yona', 'D.Gray-man', 'Fullmetal Alchemist: Brotherhood', 'Majin Tantei Nougami Neuro', 'Cross Road', 'Overlord', 'Baka to Test to Shoukanjuu Ni!', 'Jigoku Sensei Nube', 'Kill la Kill', 'Hidan no Aria', 'Serial Experiments Lain', 'Non Non Biyori', 'Cheating Craft', 'Kiseijuu: Sei no Kakuritsu', 'K-On!', 'Kuroko no Basket', 'School Rumble', 'Gintama.: Porori-hen', 'Barakamon', 'Shinryaku! Ika Musume', 'Mayoiga', 'Gin no Saji', 'Full Metal Panic!', 'Danshi Koukousei no Nichijou', 'Ben-To']"
2762,"['Tokimeki Tonight', 'Ranma ½', 'Shouwa Ahozoushi Akanuke Ichiban!', 'Shijou Saikyou no Deshi Kenichi OVA', 'Juubee-chan: Lovely Gantai no Himitsu']"
57217,"['Kishuku Gakkou no Juliet', 'Beelzebub-jou no Okinimesu mama.', 'Koi wa Sekai Seifuku no Ato de', 'Sugar Apple Fairy Tale', 'Maou no Ore ga Dorei Elf wo Yome ni Shitanda ga, Dou Medereba Ii?', 'Kyuujitsu no Warumono-san']"
1727,"['Shakugan no Shana', 'Nodame Cantabile', 'Seikoku no Dragonar', 'Takt Op. Destiny', 'Nodame Cantabile Finale', 'Ar Tonelico: Sekai no Owari de Utai Tsuzukeru Shoujo', 'Yozakura Quartet', 'Erementar Gerad', 'Seireitsukai no Blade Dance', 'Pandora Hearts']"
2933,"['Dirty Pair', 'Sei Juushi Bismarck', 'Musekinin Kanchou Tylor', 'Lupin III: Part II']"
3418,"['Toriko', 'JoJo no Kimyou na Bouken (TV)', 'Tatakae!! Ramenman', 'Kinnikuman', 'Dragon Ball', 'Hokuto no Ken', 'Kyoufu no Bio Ningen Saishuu Kyoushi']"
33846,['Mugyutto! Black Clover']
109,"['Canaan', 'Black Lagoon', 'El Cazador de la Bruja', 'Full Metal Panic!', 'Kiddy Grade', 'Speed Grapher', 'Trigun', 'Tengen Toppa Gurren Lagann', 'Seihou Bukyou Outlaw Star', 'Hikari to Mizu no Daphne', 'Popotan', 'Phantom: Requiem for the Phantom', 'Solty Rei', 'Bubblegum Crisis Tokyo 2040', 'Koukaku Kidoutai', 'Betterman', 'Bubblegum Crisis', 'Bayonetta: Bloody Fate', 'Shinseiki Evangelion']"
5945,"['Fullmetal Alchemist: Brotherhood', 'Seikon no Qwaser', 'Blue Drop: Tenshi-tachi no Gikyoku', 'Digimon Adventure', 'Digimon Savers']"
31988,"['IDOLiSH7 Second Beat!', 'Clannad: After Story', 'Sora yori mo Tooi Basho', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku', 'Shigatsu wa Kimi no Uso', 'K-On!']"
1517,"['Kekkai Sensen', 'Sakura Taisen', 'Bubblegum Crisis Tokyo 2040', 'Rental Magica', 'Gilgamesh', 'Busou Renkin', 'Genei wo Kakeru Taiyou']"
