uid,titles,genre,aired,episodes,members,popularity,ranked,score,url
299,"['.hack//Liminality', 'Hack OVA', '.hack//LIMINALITY', '.hack//Liminality']",['Mystery'],2002-06-20 - 2003-04-10,4,34356,3927,6425,6.58,https://myanimelist.net/anime/299/hack__Liminality
300,"['3x3 Eyes', 'Sazan Eyes', '3x3 Eyes: Immortals', '3×3EYES', '3x3 Eyes', '3 x 3 Augen', '3x3 Ojos']","['Action', 'Fantasy', 'Horror', 'Romance']",1991-07-25 - 1992-03-19,4,29546,4210,5719,6.71,https://myanimelist.net/anime/300/3x3_Eyes
301,"['Cinderella Boy', 'シンデレラボーイ']","['Action', 'Adventure', 'Comedy', 'Mystery']",2003-06-21 - 2003-09-13,13,8083,7217,8047,6.31,https://myanimelist.net/anime/301/Cinderella_Boy
302,"['Mirai Shounen Conan', 'The Boy in Future', '未来少年コナン', 'Future Boy Conan', 'Conan: el Niño del Futuro']","['Adventure', 'Drama', 'Sci-Fi']",1978-04-04 - 1978-10-31,26,52503,3144,524,8.09,https://myanimelist.net/anime/302/Mirai_Shounen_Conan
303,"['Aa! Megami-sama!: Chichaitte Koto wa Benri da ne', 'Oh! My Goddess: Being Small is Convenient', 'Ah! My Goddess!: Chichaitte Koto wa Benri da ne', 'ああっ女神さまっ 小っちゃいって事は便利だねっ', 'Oh! My Goddess: The Adventures of Mini-Goddess']","['Comedy', 'Supernatural']",1998-04-06 - 1999-03-29,48,22952,4731,4844,6.88,https://myanimelist.net/anime/303/Aa_Megami-sama__Chichaitte_Koto_wa_Benri_da_ne
305,"['Abashiri Ikka', 'The Abashiri Family', 'あばしり一家']","['Action', 'Comedy', 'Ecchi']",1991-05-21 - 1991-11-21,4,5052,8714,12426,5.28,https://myanimelist.net/anime/305/Abashiri_Ikka
306,"['Abenobashi Mahou☆Shoutengai', 'Abenobashi Magic Shopping District', 'Abenobashi Mahoh Shotengai', 'Magical Shopping Street Abenobashi', 'Magical Shopping Arcade Abenobashi', 'アベノ橋魔法☆商店街', 'Magical☆Shopping Arcade Abenobashi', 'Magical☆Shopping Arcade Abenobashi', 'Magical Shopping Arcade Abenobashi']","['Award Winning', 'Comedy', 'Fantasy', 'Ecchi']",2002-04-04 - 2002-06-27,13,93050,2263,3166,7.22,https://myanimelist.net/anime/306/Abenobashi_Mahou☆Shoutengai
307,"['Kerokko Demetan', 'Demetan Croaker', 'The Boy Frog', 'The Brave Frog', ""The Brave Frog's Greatest Adventure"", 'けろっこデメタン', 'Adventures On Rainbow Pond', 'Demetan la petite grenouille']","['Comedy', 'Fantasy']",1973-01-02 - 1973-09-25,39,1870,11866,9737,5.99,https://myanimelist.net/anime/307/Kerokko_Demetan
308,"['Zettai Shounen', 'Absolute Boy', 'Zettai Shonen', '絶対少年', 'Zettai Shonen']","['Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",2005-05-21 - 2005-11-19,26,21330,4901,4939,6.86,https://myanimelist.net/anime/308/Zettai_Shounen
309,"['Akahori Gedou Hour Rabuge', 'Akahori Gedou Hour Love Game', 'Zettai Seigi Love Pheromone', 'Soreyuke! Gedou Otometai', 'Absolute Justice Love Pheromone', 'あかほり外道アワーらぶげ', ""Akahori's Heretical Hour Love Game""]",['Comedy'],2005-07-05 - 2005-09-27,13,6751,7740,9161,6.11,https://myanimelist.net/anime/309/Akahori_Gedou_Hour_Rabuge
310,"['Chiisana Obake: Acchi, Kocchi, Socchi', 'Little Ghosts', 'There', 'Here', 'and Where', 'Acchi', 'Kocchi', 'Socchi', '小さなおばけ アッチ・ソッチ・コッチ', 'Three Little Ghosts', 'Acchi Kocchi Socchi']","['Comedy', 'Supernatural']",1991-04-09 - 1992-04-07,50,2199,11332,9416,6.06,https://myanimelist.net/anime/310/Chiisana_Obake__Acchi_Kocchi_Socchi
311,"['Ace wo Nerae!', 'Ace o Nerae', 'エースをねらえ!', 'Aim for the Ace!', 'Jeu, Set et Match!']","['Drama', 'Romance', 'Sports']",1973-10-05 - 1974-03-29,26,14725,5647,3888,7.08,https://myanimelist.net/anime/311/Ace_wo_Nerae
312,"['Ace wo Nerae! Final Stage', 'Ace O Nerae! OVA 2', 'Aim for the Ace: Final Stage', '「エースをねらえ！」 —ファイナル・ステージ—']","['Drama', 'Sports']",1989-10-25 - 1990-04-25,12,3113,10183,5159,6.81,https://myanimelist.net/anime/312/Ace_wo_Nerae_Final_Stage
314,"['Ace wo Nerae! 2', 'Ace wo Nerae! OVA 1', 'Aim for the Ace! 2', 'エースをねらえ！２', 'Aim for the Ace!: Another Match', 'Jeu, Set et Match! 2']","['Drama', 'Sports']",1988-07-25 - 1988-10-25,13,4017,9399,3588,7.14,https://myanimelist.net/anime/314/Ace_wo_Nerae_2
318,"['Hand Maid May', 'HAND MAID メイ']","['Comedy', 'Romance', 'Sci-Fi', 'Ecchi']",2000-07-26 - 2000-09-27,10,31236,4116,5917,6.68,https://myanimelist.net/anime/318/Hand_Maid_May
319,"['Happy World!', 'Happy World!']","['Comedy', 'Fantasy', 'Romance', 'Ecchi']",2002-12-13 - 2003-06-27,3,6468,7874,9801,5.98,https://myanimelist.net/anime/319/Happy_World
321,"['Najica Dengeki Sakusen', 'ナジカ電撃作戦', 'Najica Blitz Tactics', 'Najica Blitz Tactics', 'Najica Blitz Tactics']","['Action', 'Comedy', 'Sci-Fi', 'Ecchi']",2001-10-05 - 2001-12-27,12,15808,5499,9905,5.96,https://myanimelist.net/anime/321/Najica_Dengeki_Sakusen
322,"['Paradise Kiss', 'ParaKiss', 'Paradise kiss', 'Paradise Kiss']","['Drama', 'Romance']",2005-10-14 - 2005-12-30,12,235290,1070,887,7.86,https://myanimelist.net/anime/322/Paradise_Kiss
323,"['Mousou Dairinin', 'Mousou Dairinin', '妄想代理人', 'Paranoia Agent', 'Paranoja Agent', 'Paranoia Agent', 'Paranoia Agent']","['Avant Garde', 'Award Winning', 'Drama', 'Mystery', 'Supernatural', 'Suspense']",2004-02-03 - 2004-05-18,13,432216,552,1362,7.66,https://myanimelist.net/anime/323/Mousou_Dairinin
324,"['Kidou Keisatsu Patlabor: On Television', 'Kido Keisatsu Patlabor', 'Mobile Police Patlabor ON TELEVISION', '機動警察パトレイバー ON TELEVISION', 'Patlabor: The Mobile Police - The TV Series', 'Patlabor', 'Patlabor : The Mobile Police']","['Action', 'Comedy', 'Sci-Fi']",1989-10-11 - 1990-09-26,47,41452,3583,1307,7.68,https://myanimelist.net/anime/324/Kidou_Keisatsu_Patlabor__On_Television
325,"['Peach Girl', 'ピーチガール', 'Peach Girl: Super Pop Love Hurricane']","['Drama', 'Romance']",2005-01-08 - 2005-06-25,25,107095,2067,4634,6.92,https://myanimelist.net/anime/325/Peach_Girl
326,"['Petshop of Horrors', 'Pet Shop of Horrors (ペットショップ・オブ・ホラーズ)', 'Pet Shop of Horrors']","['Horror', 'Mystery', 'Supernatural']",1999-03-02 - 1999-03-23,4,70963,2670,3085,7.24,https://myanimelist.net/anime/326/Petshop_of_Horrors
327,"['Puchi Pri*Yucie', 'Petite Pri Yuushi', 'Puchi Puri Yuushi', 'ぷちぷり＊ユーシィ', 'Petite Princess Yucie']","['Comedy', 'Fantasy']",2002-09-30 - 2003-03-24,26,16135,5460,2320,7.4,https://myanimelist.net/anime/327/Puchi_PriYucie
328,"['Piano (TV)', 'PIANO', ""Piano: The Melody of a Young Girl's Heart""]","['Drama', 'Romance', 'Slice of Life']",2002-11-11 - 2003-01-13,10,9500,6757,9778,5.99,https://myanimelist.net/anime/328/Piano_TV
329,"['Planetes', 'ΠΛΑΝΗΤΕΣ', 'プラネテス', 'Planetes']","['Award Winning', 'Drama', 'Romance', 'Sci-Fi']",2003-10-04 - 2004-04-17,26,259764,972,325,8.25,https://myanimelist.net/anime/329/Planetes
330,"['Midori no Hibi', 'My Days With Midori', '美鳥の日々', 'Midori Days', 'Midori Days: Midori no Hibi']","['Comedy', 'Drama', 'Romance', 'Ecchi']",2004-04-04 - 2004-06-27,13,171922,1423,3238,7.21,https://myanimelist.net/anime/330/Midori_no_Hibi
331,"['Mahoujin Guruguru', '魔法陣グルグル', 'Magical Circle Guru Guru', 'Magical Circle Guru-Guru', 'Magical Circle Guru-Guru', 'Magical Circle Guru-Guru']","['Adventure', 'Comedy', 'Fantasy']",1994-10-13 - 1995-09-14,45,11644,6202,1582,7.59,https://myanimelist.net/anime/331/Mahoujin_Guruguru
332,"['Dokidoki♡Densetsu: Mahoujin Guruguru', 'Mahoujin Guruguru II', 'Mahoujin Guru Guru: Doki Doki Legend', 'ドキドキ♡伝説 魔法陣グルグル', 'Magical Circle Guru Guru 2']","['Adventure', 'Comedy', 'Fantasy']",2000-04-04 - 2000-12-26,38,4541,9041,3756,7.11,https://myanimelist.net/anime/332/Dokidoki♡Densetsu__Mahoujin_Guruguru
333,"['Mama wa Shougaku 4-nensei', 'Mama is a 4th Grader', 'Mama wa Shougaku Yonensei', 'ママは小学４年生', 'Mama is Just a Fourth Grade Pupil']","['Award Winning', 'Comedy', 'Drama', 'Sci-Fi']",1992-01-10 - 1992-12-25,51,7502,7410,2661,7.32,https://myanimelist.net/anime/333/Mama_wa_Shougaku_4-nensei
334,"['Marmalade Boy', 'ママレード・ボーイ', 'Marmalade Boy']","['Comedy', 'Drama', 'Romance']",1994-03-13 - 1995-09-03,76,57643,2998,2207,7.42,https://myanimelist.net/anime/334/Marmalade_Boy
335,"['Matantei Loki Ragnarok', '魔探偵ロキ RAGNAROK', 'Mythical Detective Loki Ragnarok', 'Le Détective Légendaire Loki Ragnarok']","['Comedy', 'Mystery', 'Supernatural']",2003-04-05 - 2003-09-27,26,39803,3662,3016,7.25,https://myanimelist.net/anime/335/Matantei_Loki_Ragnarok
336,"['Ginyuu Mokushiroku Meine Liebe', 'Meine Liebe', 'My Love', '吟遊黙示録 マイネリーベ', 'Meine Liebe']","['Drama', 'Fantasy']",2004-11-04 - 2005-02-03,13,13644,5828,7330,6.44,https://myanimelist.net/anime/336/Ginyuu_Mokushiroku_Meine_Liebe
337,"['Psychic Academy', 'Psychic Academy Aura Banshou', 'サイキックアカデミー煌羅万象', 'Psychic Academy']","['Comedy', 'Romance', 'Supernatural', 'Ecchi']",2002-03-29 - 2002-09-13,24,12207,6093,8778,6.18,https://myanimelist.net/anime/337/Psychic_Academy
338,"['Versailles no Bara', 'Berusaiyu no Bara', 'ベルサイユのばら', 'The Rose of Versailles', 'Die Rose von Versailles', 'Lady Oscar']","['Drama', 'Romance']",1979-10-10 - 1980-09-03,40,102344,2124,233,8.34,https://myanimelist.net/anime/338/Versailles_no_Bara
339,"['Serial Experiments Lain', 'シリアルエクスペリメンツレイン', 'Serial Experiments Lain']","['Avant Garde', 'Award Winning', 'Drama', 'Mystery', 'Sci-Fi', 'Supernatural', 'Suspense']",1998-07-06 - 1998-09-28,13,808175,247,513,8.09,https://myanimelist.net/anime/339/Serial_Experiments_Lain
340,"['Mutsu Enmei Ryuu Gaiden: Shura no Toki', 'Shura no Toki - Age of Chaos', 'Shura no Toki', '陸奥圓明流外伝 修羅の刻', 'Time of Shura', ""L'Ère des Shura""]",['Action'],2004-04-06 - 2004-09-28,26,25273,4547,1739,7.54,https://myanimelist.net/anime/340/Mutsu_Enmei_Ryuu_Gaiden__Shura_no_Toki
341,"['Spiral: Suiri no Kizuna', 'スパイラル -推理の絆-', 'Spiral: Bond of Reasoning']","['Drama', 'Mystery']",2002-10-01 - 2003-03-25,25,53568,3111,3256,7.21,https://myanimelist.net/anime/341/Spiral__Suiri_no_Kizuna
342,"['Starship Operators', 'スターシップ・オペレーターズ']","['Drama', 'Sci-Fi']",2005-01-05 - 2005-03-30,13,16702,5383,4568,6.93,https://myanimelist.net/anime/342/Starship_Operators
343,"['Tsukuyomi: Moon Phase', '月詠 −MOON PHASE−', 'Tsukuyomi: Moon Phase']","['Comedy', 'Fantasy', 'Romance']",2004-10-05 - 2005-03-29,25,78307,2513,4574,6.93,https://myanimelist.net/anime/343/Tsukuyomi__Moon_Phase
344,"['Futatsu no Spica', 'ふたつのスピカ', 'Twin Spica']","['Drama', 'Sci-Fi', 'Supernatural']",2003-11-01 - 2004-03-27,20,11220,6290,2492,7.35,https://myanimelist.net/anime/344/Futatsu_no_Spica
345,"['Eikoku Koi Monogatari Emma', '英國戀物語エマ', 'Emma: A Victorian Romance', 'Emma: A Victorian Romance', 'Emma: Un Romance Victoriano', 'Emma: A Victorian Romance']","['Drama', 'Romance']",2005-04-03 - 2005-06-19,12,60870,2913,1519,7.61,https://myanimelist.net/anime/345/Eikoku_Koi_Monogatari_Emma
346,"['W: Wish', 'W 〜ウィッシュ〜', 'Double Wish']","['Drama', 'Romance']",2004-10-03 - 2004-12-26,13,16417,5416,9060,6.13,https://myanimelist.net/anime/346/W__Wish
347,"['Wild Arms: Twilight Venom', 'ワイルドアームズ トワイライトヴェノム', 'Wild Arms', 'Wild Arms']","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",1999-10-18 - 2000-03-27,22,8856,6942,6156,6.63,https://myanimelist.net/anime/347/Wild_Arms__Twilight_Venom
348,"['Binzume Yousei', 'Binzume Yousei: Bottle Fairy', '瓶詰妖精', 'Bottle Fairy']","['Comedy', 'Fantasy']",2003-10-04 - 2003-12-27,13,19948,5030,7368,6.43,https://myanimelist.net/anime/348/Binzume_Yousei
349,"['Magical Canan', 'Mahou Canan', 'まじかるカナン', 'Magical Kanan', 'Magical Kanan']","['Drama', 'Fantasy', 'Ecchi']",2005-01-01 - 2005-03-26,13,6643,7801,9288,6.08,https://myanimelist.net/anime/349/Magical_Canan
350,"['Ojamajo Doremi', 'Useless Witchgirl Doremi', 'おジャ魔女どれみ', 'Magical DoReMi', 'Magical DoReMi', 'Magical DoReMi', 'Magical DoReMi']","['Comedy', 'Fantasy']",1999-02-07 - 2000-01-30,51,58334,2975,2729,7.31,https://myanimelist.net/anime/350/Ojamajo_Doremi
351,"['Ojamajo Doremi Sharp', 'Ojamajo Doremi #', 'Useless Witch Doremi Sharp', 'おジャ魔女どれみ＃']","['Comedy', 'Fantasy']",2000-02-06 - 2001-01-28,49,23359,4696,2080,7.45,https://myanimelist.net/anime/351/Ojamajo_Doremi_Sharp
352,"['Motto! Ojamajo Doremi', 'More! Useless Witch Doremi', 'も〜っと！おジャ魔女どれみ']","['Comedy', 'Fantasy']",2001-02-04 - 2002-01-27,50,22826,4745,2078,7.45,https://myanimelist.net/anime/352/Motto_Ojamajo_Doremi
353,"['Ojamajo Doremi Dokkaan!', 'Useless Witch Doremi Kaboom!', 'おジャ魔女どれみドッカ〜ン！']","['Comedy', 'Fantasy']",2002-02-03 - 2003-01-26,51,18334,5198,1204,7.72,https://myanimelist.net/anime/353/Ojamajo_Doremi_Dokkaan
354,"['UG☆Ultimate Girls', 'UG Ultimate Girls', 'Ultra Girl', 'UG*Ultimate Girls', 'UG☆アルティメットガール', 'Ultimate Girls']","['Comedy', 'Sci-Fi', 'Ecchi']",2005-01-10 - 2005-03-28,12,10182,6562,11475,5.61,https://myanimelist.net/anime/354/UG☆Ultimate_Girls
355,"['Shakugan no Shana', 'Burning-Eyed Shana', '灼眼のシャナ', 'Shakugan no Shana: Season I']","['Action', 'Drama', 'Fantasy', 'Romance']",2005-10-06 - 2006-03-23,24,543404,423,2117,7.44,https://myanimelist.net/anime/355/Shakugan_no_Shana
356,"['Fate/stay night', 'Fate - Stay Night', 'Fate/stay night', 'Fate/stay night']","['Action', 'Fantasy', 'Romance']",2006-01-07 - 2006-06-17,24,959431,176,2903,7.27,https://myanimelist.net/anime/356/Fate_stay_night
357,"['Bokusatsu Tenshi Dokuro-chan', 'Club-To-Death Angel Dokuro-chan', '撲殺天使ドクロちゃん', 'Bludgeoning Angel Dokuro-chan', 'Bludgeoning Angel Dokoro-chan', 'Bludgeoning Angel Dokoro-chan', 'Dokuro-Chan']","['Comedy', 'Supernatural', 'Ecchi']",2005-03-13 - 2005-09-22,4,205965,1215,6739,6.53,https://myanimelist.net/anime/357/Bokusatsu_Tenshi_Dokuro-chan
358,"['Iriya no Sora, UFO no Natsu', 'イリヤの空、UFOの夏', 'Sky of Iriya, Summer of UFO']","['Drama', 'Romance', 'Sci-Fi']",2005-02-25 - 2005-06-29,6,26556,4443,4723,6.9,https://myanimelist.net/anime/358/Iriya_no_Sora_UFO_no_Natsu
359,"[""I'll/CKBC"", ""I'll / Crazy KOUZU Basketball Club"", 'Generation basket', ""I'll/CKBC"", ""I'll/CKBC""]",['Sports'],2002-12-18 - 2003-03-26,2,5756,8275,8736,6.18,https://myanimelist.net/anime/359/Ill_CKBC
360,"['Himiko-den', 'Himikoden', '火魅子伝', 'Legend of Himiko']","['Adventure', 'Drama', 'Fantasy', 'Supernatural']",1999-01-07 - 1999-04-01,12,6684,7775,8984,6.14,https://myanimelist.net/anime/360/Himiko-den
361,"['Memories Off', 'Memories Off (メモリーズオフ)']","['Drama', 'Romance']",2001-11-21 - 2002-03-06,3,7060,7598,10831,5.77,https://myanimelist.net/anime/361/Memories_Off
362,"['Memories Off 2nd', 'Memories Off 2nd (メモリーズオフ 2nd)']","['Drama', 'Romance']",2003-01-22 - 2003-05-21,3,4385,9150,9089,6.12,https://myanimelist.net/anime/362/Memories_Off_2nd
363,"['Memories Off 3.5', 'MOFF3.5', 'Memories Off 3.5 [メモリーズオフ3.5]']","['Drama', 'Romance']",2004-05-12 - 2004-10-20,4,3818,9567,9091,6.12,https://myanimelist.net/anime/363/Memories_Off_35
364,"['Gallery Fake', 'ギャラリーフェイク']",['Mystery'],2005-01-09 - 2005-09-25,37,15916,5487,2253,7.41,https://myanimelist.net/anime/364/Gallery_Fake
366,"['AIKa', 'ＡＩＫａ', 'Agent AIKa', 'Agent AIKa']","['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Ecchi']",1997-04-25 - 1999-04-25,7,37983,3750,9964,5.95,https://myanimelist.net/anime/366/AIKa
367,"['Akazukin Chacha OVA', '赤ずきんチャチャ (1995)']","['Comedy', 'Fantasy']",1995-12-06 - 1996-03-06,3,2950,10368,4130,7.03,https://myanimelist.net/anime/367/Akazukin_Chacha_OVA
369,"['Boogiepop wa Warawanai', 'Boogiepop Never Laughs', ""Boogiepop Doesn't Laugh"", 'ブギーポップは笑わない Boogiepop Phantom', 'Boogiepop Phantom', 'Boogiepop Phantom', 'Boogiepop Phantom']","['Avant Garde', 'Drama', 'Horror', 'Mystery', 'Supernatural', 'Suspense']",2000-01-05 - 2000-03-22,12,141132,1673,3568,7.15,https://myanimelist.net/anime/369/Boogiepop_wa_Warawanai
370,"['Burn Up Excess', 'Burn Up! X', 'Burn Up! Excess', 'Burn-Up Excess', 'バーンナップEXCESS', 'Burn Up Excess']","['Action', 'Adventure', 'Comedy', 'Mystery', 'Sci-Fi', 'Ecchi']",1997-12-12 - 1998-07-01,13,12448,6030,6762,6.53,https://myanimelist.net/anime/370/Burn_Up_Excess
373,"['Bannou Bunka Neko-Musume', 'Cat Girl Nuku Nuku', 'Catgirl Nuku Nuku OVA', 'Bannou Bunka Nekomusume', 'Super Cat Girl Nuku Nuku', 'Nuku Nuku', '万能文化猫娘', 'All Purpose Cultural Cat Girl Nuku Nuku']","['Adventure', 'Comedy', 'Sci-Fi']",1992-10-21 - 1994-05-25,6,13401,5871,5834,6.69,https://myanimelist.net/anime/373/Bannou_Bunka_Neko-Musume
374,"['Bannou Bunka Neko-Musume DASH!', 'Cat Girl Nuku Nuku Dash!', 'Bannou Bunka Nekomusume Dash!', 'Cat Girl Nuku Nuku DASH!', 'All Purpose Cultural Cat Girl Nuku Nuku DASH!', 'Nuku Nuku Dash', '万能文化猫娘ＤＡＳＨ！', 'All Purpose Cultural Cat Girl Nuku Nuku Dash!']","['Action', 'Comedy', 'Romance', 'Sci-Fi', 'Ecchi']",1998-09-23 - 1998-12-23,12,6454,7880,8093,6.3,https://myanimelist.net/anime/374/Bannou_Bunka_Neko-Musume_DASH
375,"['Bannou Bunka Neko-Musume (1998)', 'Nuku Nuku', 'Bannou Bunka Nekomusume', '万能文化猫娘', 'All Purpose Cultural Cat Girl Nuku Nuku TV']","['Action', 'Adventure', 'Comedy', 'Sci-Fi']",1998-01-07 - 1998-03-25,12,9120,6859,6837,6.51,https://myanimelist.net/anime/375/Bannou_Bunka_Neko-Musume_1998
377,"['eX-Driver', 'エクスドライバー']","['Action', 'Adventure', 'Comedy', 'Sci-Fi']",2000-07-25 - 2001-09-25,6,12328,6057,5934,6.67,https://myanimelist.net/anime/377/eX-Driver
379,"['Heppoko Jikken Animation Excel♥Saga', 'Heppoko Jikken Animation Excel♥Saga', 'へっぽこ実験アニメーション エクセル♥サーガ', 'Excel Saga', 'Excel Saga', 'Excel Saga']","['Comedy', 'Sci-Fi']",1999-10-08 - 2000-03-31,26,112426,2000,1961,7.49,https://myanimelist.net/anime/379/Heppoko_Jikken_Animation_Excel♥Saga
380,"['Fushigi Yuugi OVA', 'Fushigi Yugi OVA 1', 'ふしぎ遊戯', 'Mysterious Play OVA', 'Fushigi Yûgi - The Mysterious Play OVA', 'Fushigi Yugi: El juego Misterioso OVA', 'Fushigi Yugi - The Mysterious Play OAV']","['Adventure', 'Fantasy', 'Romance']",1996-10-25 - 1997-02-25,3,23784,4658,3692,7.13,https://myanimelist.net/anime/380/Fushigi_Yuugi_OVA
381,"['Fushigi Yuugi: Dai Ni Bu', 'Fushigi Yugi OVA 2', 'Fushigi Yuugi OVA 2', 'ふしぎ遊戯\u3000第二部', 'Mysterious Play OVA 2', 'Fushigi Yûgi - The Mysterious Play OVA 2', 'Fushigi Yugi OVA 2', 'Fushigi Yugi - The Mysterious Play OAV 2']","['Adventure', 'Fantasy', 'Romance']",1997-05-25 - 1998-10-25,6,21223,4911,3095,7.24,https://myanimelist.net/anime/381/Fushigi_Yuugi__Dai_Ni_Bu
382,"['Futari Ecchi', 'Futari H', 'ふたりエッチ', 'Step Up Love Story', 'Manga Love Story - Step Up Love Story', 'Step Up Love Story']","['Comedy', 'Romance', 'Ecchi']",2002-07-26 - 2004-01-22,4,37935,3755,7994,6.32,https://myanimelist.net/anime/382/Futari_Ecchi
383,"['Galaxy Angel', 'ギャラクシーエンジェル']","['Comedy', 'Sci-Fi']",2001-04-08 - 2001-09-30,24,30305,4167,4277,7.01,https://myanimelist.net/anime/383/Galaxy_Angel
384,"['Gantz', 'GANTZ', 'ガンツ', 'Gantz']","['Action', 'Drama', 'Horror', 'Sci-Fi', 'Supernatural', 'Suspense']",2004-04-13 - 2004-06-22,13,365980,667,4389,6.98,https://myanimelist.net/anime/384/Gantz
385,"['Gilgamesh', 'ギルガメッシュ', 'Gilgamesh']","['Drama', 'Fantasy', 'Sci-Fi']",2003-10-02 - 2004-03-18,26,43138,3505,6347,6.6,https://myanimelist.net/anime/385/Gilgamesh
386,"['H2', 'Ｈ２[エイチ・ツー]']","['Comedy', 'Romance', 'Sports']",1995-06-01 - 1996-03-21,41,10512,6467,3198,7.22,https://myanimelist.net/anime/386/H2
387,"['Haibane Renmei', 'Charcoal Feather Federation', '灰羽連盟', 'Haibane Renmei', 'Ailes Grises : Haibane Renmei']","['Drama', 'Fantasy', 'Mystery', 'Suspense']",2002-10-10 - 2002-12-19,13,298023,856,670,7.98,https://myanimelist.net/anime/387/Haibane_Renmei
388,"['Capeta', 'カペタ']",['Sports'],2005-10-04 - 2006-09-26,52,28341,4295,982,7.81,https://myanimelist.net/anime/388/Capeta
389,"['Karas', 'Crow', 'Raven', 'Karas: The Prophecy', 'Karas: The Revelation', '鴉 -KARAS-', 'Karas']","['Action', 'Fantasy', 'Sci-Fi']",2005-03-25 - 2007-10-26,6,65199,2801,2441,7.36,https://myanimelist.net/anime/389/Karas
390,"['Suzuka', '涼風', 'Suzuka']","['Drama', 'Romance', 'Sports']",2005-07-07 - 2005-12-29,26,118519,1919,3478,7.16,https://myanimelist.net/anime/390/Suzuka
391,"['Tales of Phantasia The Animation', 'テイルズ オブ ファンタジア THE ANIMATION', 'Tales of Phantasia', 'Tales of Phantasia: The Animation', 'Tales of Phantasia: The Animation', 'Tales of Phantasia: The Animation']","['Adventure', 'Fantasy']",2004-11-25 - 2006-02-24,4,23885,4651,5465,6.76,https://myanimelist.net/anime/391/Tales_of_Phantasia_The_Animation
392,"['Yuu☆Yuu☆Hakusho', 'Yu Yu Hakusho', 'Ghost Fighter', 'Poltergeist Report', 'YuYu Hakusho', '幽☆遊☆白書', 'Yu Yu Hakusho: Ghost Files', 'Yu Yu Hakusho', 'Yu Yu Hakusho']","['Action', 'Fantasy']",1992-10-10 - 1995-01-07,112,706773,293,159,8.46,https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho
394,"['Ai Yori Aoshi: Enishi', 'Bluer Than Indigo: Fate', '藍より青し～縁～', 'Ai Yori Aoshi: Enishi']","['Comedy', 'Drama', 'Romance']",2003-10-13 - 2003-12-29,12,60473,2924,3746,7.11,https://myanimelist.net/anime/394/Ai_Yori_Aoshi__Enishi
395,"['Gantz 2nd Stage', 'Gantz *uncut*', 'Gantz - Second Stage', 'Gantz 2nd stage', 'ガンツ', 'Gantz: Second Stage']","['Action', 'Drama', 'Horror', 'Sci-Fi', 'Suspense']",2004-08-26 - 2004-11-18,13,165538,1480,4278,7.01,https://myanimelist.net/anime/395/Gantz_2nd_Stage
396,"['Seikai no Senki', 'Battle Flag of the Stars', 'Crest of the Stars', '星界の戦旗', 'Banner of the Stars']","['Action', 'Romance', 'Sci-Fi']",2000-04-14 - 2000-07-14,13,34970,3889,1400,7.65,https://myanimelist.net/anime/396/Seikai_no_Senki
397,"['Seikai no Senki II', 'Battle Flag of the Stars II', '星界の戦旗 II', 'Banner of the Stars II']","['Action', 'Romance', 'Sci-Fi']",2001-07-11 - 2001-09-26,10,24596,4600,1058,7.78,https://myanimelist.net/anime/397/Seikai_no_Senki_II
400,"['Seihou Bukyou Outlaw Star', 'Future Hero Next Generation Outlaw Star', 'Starward Warrior Knight Outlaw Star', '星方武侠アウトロースター', 'Outlaw Star', 'Outlaw Star', 'Outlaw Star']","['Action', 'Adventure', 'Comedy', 'Sci-Fi']",1998-01-09 - 1998-06-26,24,160491,1511,942,7.83,https://myanimelist.net/anime/400/Seihou_Bukyou_Outlaw_Star
401,"['Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen', 'Rurouni Kenshin: Seisouhen', 'Rurouni Kenshin OVA 2', 'るろうに剣心 -明治剣客浪漫譚- 星霜編', 'Samurai X: Reflection', 'Kenshin el Guerrero Samurai Final', ""Kenshin Le Vagabond : Seisou-Hen (Le Chapitre de l'expiation)""]","['Drama', 'Romance']",2001-12-19 - 2002-03-20,2,85935,2366,695,7.96,https://myanimelist.net/anime/401/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Seisou-hen
403,"['Hanaukyou Maid-tai', 'Hanaukyou Maids', 'Maid in Hanaukyo', 'Hanoukyo Maid Tai', 'Hanaukyo Maid Team', '花右京メイド隊', 'Hanaukyo Maid', 'Hanaukyo Maid', 'Hanaukyo Maid']","['Comedy', 'Romance', 'Ecchi']",2001-04-13 - 2001-06-29,12,33450,3991,6516,6.57,https://myanimelist.net/anime/403/Hanaukyou_Maid-tai
404,"['Bastard!! Ankoku no Hakaishin', 'Bastard!! Destroyer of Darkness', 'Ankoku no Hakai Kami', 'バスタード!! 暗黒の破壊神', 'Bastard!!', 'Bastard!!']","['Action', 'Adventure', 'Fantasy', 'Ecchi']",1992-08-25 - 1993-06-25,6,45611,3396,5909,6.68,https://myanimelist.net/anime/404/Bastard_Ankoku_no_Hakaishin
406,"['Buzzer Beater', 'BUZZER BEATER', 'BUZZER BEATER WARM-UP']","['Sci-Fi', 'Sports']",2005-02-05 - 2005-04-30,13,16135,5463,6936,6.5,https://myanimelist.net/anime/406/Buzzer_Beater
